IP Year,Investment Name,Project Details,Department,Service Area,Investment Type,Capital Cost,Percent Funded,Class Estimate,SPAP Theme,Lifecycle Activity Driver,Neighbourhood,Ward,Location,Funded,Unfunded,Funding Year,Growth Enabling or Supportive,Previously Approved Project Funding,GAHP,Rank,Disposal,Preliminary Capital Cost 10 Year,Preliminary Funded 10 Year,Preliminary Unfunded 10 Year,Preliminary Capital Cost 6 Year,Preliminary Funded 6 Year,Preliminary Unfunded 6 Year
2024,Wheel Chair Securements - Retro fit,"This program will support the retro fit of wheelchair securements on existing buses purchased before 2021. Beginning in 2021 all new buses received will be equipped with wheelchair securements that will meet the Accessibility for Manitobans Act (AMA) regulations. The AMA is proposed provincial legislation which mandates accessibility regulations that are not elective and must be met. The transportation regulations themselves are currently in development, and are expected to be issued soon. This retrofit project, in addition to making the ride safer for all passengers including the most vulnerable, would allow customers to use both Winnipeg Transit Plus and conventional transit together to complete a trip. This approach is expected to provide more independence and flexibility for customers.",Winnipeg Transit,Public Transit,Program,0,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,0,0,2033,,,N,5,,,,,,,
2024,Customer Care and Billing System (formerly Customer Billing and Work Management Systems Upgrades Program),"Work Order and Asset Management (WAM) is used in the delivery of Water and Wastewater services for work planning, management, infrastructure preventative maintenance and renewal programs. Ongoing product updates are required to ensure the WAM system can support the day-to-day operations within the Water and Waste Department.",Innovation and Technology,Water,Program,0,1,,A City that Works for Residents through Improved Customer Service,Upgrade,,,,180000,0,2028,,,N,2,,,,,,,
2023,Outfall Rehabilitation,text,Water and Waste,Land Drainage & Flood Control,Program,23200000,1,,Environmental Resilience,Renew,,,,3000000,0,2032,,,,,,,,,,,
2024,Manta build and implement,The investment is to replace the Municipal Assessment and Taxation Application (MANTA) and the Revenue Collection System (RCS) Software. The replacement is required because MANTA and RCS are over 23 years old and at end of life.,Innovation and Technology,Fire & Injury Prevention,Project,0,0,5,A City that Works for Residents through Improved Customer Service,Upgrade,,,,0,0,2028,,,N,1,,,,,,,
2023,Riverbank Stabilization Physical Asset Protection (RSPAP) Program,text,"Planning, Property & Development",Land Drainage & Flood Control,Program,198000000,0,,Environmental Resilience,Upgrade,,,,0,19800000,2029,,,,,,,,,,,
2024,Police Headquarters Information System Upgrades,"This evergreening initiative is to upgrade and replace time expired information system equipment for the centralized server, networking, backup and security hardware. The hardware supports department-wide information systems to maintain current levels of response.",Winnipeg Police Service,Police Services,Project,0,1,4,Corporate Management and Support,Upgrade,South Portage,Fort Rouge - East Fort Garry,POINT (-97.14105021 49.89231132),0,0,2030,,,N,2,,,,,,,
2023,Combined Sewer Overflow and Basement Flood Management Strategy: District Sewer Separation,text,Water and Waste,Wastewater,Program,368500000,1,,Environmental Resilience,Upgrade,,,,32500000,0,2031,,,,,,,,,,,
2024,Desktop Hardware Program,"This program will allow the city to continue with the desktop hardware evergreening program for the City, with a proposed shift from operating expenses (Opex) to capital expenses (Capex). By making this shift, the City can free up operating dollars for investing in Software as a Service (SaaS) IT subscriptions, which will help the City transition to more Cloud-centric systems and enjoy their benefits. This shift in funding and technology infrastructure will enable the City to prioritize its technology investments and enhance its overall technology infrastructure.",Innovation and Technology,Multiple Organizational Support Services,Program,0,0,,A City that Works for Residents through Improved Customer Service,Upgrade,,,,0,1847000,2029,,,N,1,,,,,,,
2024,Study of Backup Power Supply for the Hurst Pumping Station,An RFP for conceptual design will be developed and the City will retain an experienced consulting engineering firm to conduct conceptual design to assess the need and scope of implementing backup power at the Hurst PS. Conceptual design will establish a Class 4 cost estimate and implementation timeline.,Water and Waste,Water,Project,0,1,5,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,Parker,River Heights - Fort Garry,POINT (-97.16479128 49.85029894),0,0,2029,,,N,6,,,,,,,
2023,Fleet Asset Acquisitions,text,Fleet Management Services,Multiple Organizational Support Services,Program,282132000,1,,Economic Prosperity,Operations & Maintenance,,,,15670000,21217000,2027,,,,,,,,,,,
2023,Regional Parks - King's Park Rehabilitation,text,Public Works,Parks - Regional,Program,6426000,0,,Good Health & Well-Being,Renew,Fort Richmond,St. Norbert - Seine River,POINT (-97.12473203 49.79910476),0,1801000,2026,,,,,,,,,,,
2023,Parks Buildings - City Operated,text,Public Works,Parks - Regional,Program,9378000,0,,Leadership & Good Governance,Renew,,,,0,602000,2026,,,,,,,,,,,
2024,Silver Heights Fire Paramedic Station,"With this capital funding the Winnipeg Fire Paramedic Service seeks to maximize the efficiency of the station network. This is achieved through relocations, replacements, and major enhancements to stations that help reduce costs but maintain the desired level of response.",Fire Paramedic Service,Fire & Rescue Response,Project,0,1,5,"A Livable, Safe, Healthy, Happy City",Renew,Silver Heights,St. James,POINT (-97.25476765 49.88025755),0,0,2026,,,N,5,,,,,,,
2024,Branch Aqueduct Condition Assessment and Rehabilitation,"The Branch I and II Aqueducts, along with the Branch Interconnection Aqueduct are specialized pipes which are unique in size, materials, construction techniques and failure modes. The Branch I Aqueduct was installed between 1914 to 1918 and the Branch II and Interconnection Aqueducts were installed between 1959 and 1963. All of these require specialized inspection, testing, and maintenance to preserve the asset.",Water and Waste,Water,Program,0,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,4700000,0,2026,,,N,7,,,,,,,
2024,Arena Twinning Project (City Contribution for EOI/RFP),"This investment is a City capital contribution to support an RFP to develop a new multi-pad indoor arena that meets current and future service needs. It may allow for the rationalization of end-of-life, functionally obsolete City-operated arenas.",Community Services,Recreation,Project,0,0,5,"A Livable, Safe, Healthy, Happy City",Upgrade,Grant Park,River Heights - Fort Garry,POINT (-97.16866231 49.85565765),0,0,2025,,,N,19,,,,,,,
2024,Facility Optimization - Waverley West Station,"With this capital funding the Winnipeg Fire Paramedic Service seeks to maximize the efficiency of the station network. This is achieved through relocations, replacements, and major enhancements to stations that help reduce costs but maintain the desired level of response.",Fire Paramedic Service,Fire & Rescue Response,Project,0,1,4,"A Livable, Safe, Healthy, Happy City",Upgrade,Waverley West B,Waverley West,POINT (-97.18796535 49.79664178),0,0,2030,Growth-supportive infrastructure,,N,4,,,,,,,
2024,Water Meter Renewals,"The majority of the City's inventory of water meters are at end of life. Funding in previous years will be used to review current water meter technology, validate the best replacement technology, and develop a plan and class 3 estimate for implementation of a multi-year direct-read water meter replacement program.",Water and Waste,Water,Project,0,1,5,A City that Works for Residents through Improved Customer Service,Renew,,,,20000000,0,2026,,,N,5,,,,,,,
2024,Brady Road Resource Management Facility - Landfill Gas Capture Expansion,"There is an obligation under the Province of Manitoba Environment Act Licence No. 3081 R for the Brady Road Resource Management Facility (BRRMF) to control odours leaving the landfill site. If the gas is not collected, objectionable odours may be experienced by the nearby neighbourhoods from the active filling area. Additionally, flammable gases will be released uncontrolled from the decomposing waste which may pose public health and safety risks. The Climate Change and Emissions Reductions Act requires the City to collect and destroy methane gas generated by the BRRMF, consistent with Provincial directives on greenhouse gas reduction and odour control.",Water and Waste,Solid Waste Disposal,Program,0,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Growth,La Barriere,St. Norbert - Seine River,POINT (-97.212998 49.757805),150000,0,2025,,,N,1,,,,,,,
2024,Traffic Signals Bases Replacements and Bulb Replacements,"This program is to replace traffic signal bases in poor condition and LED bulbs at end of useful life. Traffic signal bases provide the structural foundation for traffic signal poles and cabinets and are crucial for the safe construction and operation of traffic signals. In total, approximately 500 high-risk bases must be replaced. Additionally, LED bulbs that provide for signal illumination are aging and fading, and many require replacement.",Public Works,Roads - Regional,Program,0,1,,"A Livable, Safe, Healthy, Happy City",Renew,,,,1739000,0,2033,,,N,2,,,,,,,
2023,Osborne Street Underpass,text,Public Works,Roads - Regional,Project,46053000,0,3,Environmental Resilience,Upgrade,West Kildonan Industrial,Old Kildonan,POINT (-97.10764 49.95172),0,62000,2026,,,,,,,,,,,
2024,WWD Document Management System,"The collaboration and document platform provides the ability to upload, store, and retrieve documents in a concise, practical manner using a standard practice for all divisions within the department. This will increase both internal and external stakeholders accessibility to departmental documents. A document management system will also automate the review and approval processes within Water and Waste Department resulting in faster turn-around time.",Innovation and Technology,Wastewater,Program,0,1,,A City that Works for Residents through Improved Customer Service,Renew,,,,1300000,0,2025,,,N,6,,,,,,,
2024,Neighbourhood Centres Capital Renewal Program,"The neighbourhood recreation and leisure centres capital maintenance and renewal program supports capital maintenance repairs, refurbishment, and improvements to 9 neighbourhood recreation and leisure centres owned and operated by the City of Winnipeg or by partners via legal agreements*. Projects may include building envelope and structural improvements, improvements to mechanical and electrical systems including heating, ventilation and lighting, accessibility projects and other interior improvements. * Broadway Neighbourhood Centre, East End Cultural & Leisure Centre now operating as a community care site by Mamawi",Assets and Project Management,Recreation,Program,0,0,,"A Livable, Safe, Healthy, Happy City",Renew,,,,0,2493000,2031,,,N,4,,,,,,,
2024,Asset Refurbishment and Replacement Program: Projects,"A risk and criticality review of the City's three sewage treatment plants has been undertaken to assess the condition of assets and to develop a refurbishment and replacement plan for the next 25 years. The improvements identified will address process reliability, mechanical, electrical, structural components, building envelope, and safety at all three locations including any related works required such as environmental studies/assessments or decommissioning of assets. Operational efficiency improvements will also be identified and implemented in a coordinated fashion with the enhanced maintenance program.",Water and Waste,Wastewater,Program,0,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,6500000,0,2028,,,N,18,,,,,,,
2023,Equipment Obsolescence,text,Fire Paramedic Service,Fire & Medical Response,Program,26440000,1,,Good Health & Well-Being,Renew,,,,850000,0,2023,,,,,,,,,,,
2023,Branch Aqueduct Condition Assessment and Rehabilitation,text,Water and Waste,Water,Program,15700000,1,,Environmental Resilience,Renew,,,,1000000,0,2029,,,,,,,,,,,
2023,Lift Station Upgrading: Station Rehabilitation,text,Water and Waste,Wastewater,Program,67050000,1,,Environmental Resilience,Upgrade,,,,6000000,0,2027,,,,,,,,,,,
2024,Fleet Asset Acquisitions,"This program funds fleet asset acquisitions which are based on the Winnipeg Fleet Management Agency (WFMA) 2024 to 2027 fleet replacement plan, and are subject to future revision due to WFMA and City department decisions and vendor availability.",Public Works,Multiple Organizational Support Services,Program,0,0,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,15670000,26326000,2032,,,N,5,,,,,,,
2024,Henderson Hwy N of Gilmore to City Limit,"This project involves urbanization of the roadway, provision of pedestrian and cycling accommodation, introduction of a median and associated access management. Replacement of the existing box culvert at the Bunn's Creek crossing with a water control chamber may be considered.",Public Works,Roads - Regional,Project,0,0,5,A City that Works for Residents through Improved Customer Service,Growth,River East,North Kildonan,POINT (-97.08013119 49.95064192),0,0,2027,,,N,9,,,,,,,
2023,Millennium Library Parkade Facility Renewal Program,text,Public Works,Parking,Program,50081000,0,,Leadership & Good Governance,Renew,South Portage,Fort Rouge - East Fort Garry,POINT (-97.142058 49.891789),0,68000,2029,,,,,,,,,,,
2023,Brady Road Resource Management Facility - Landfill Gas Capture Expansion,text,Water and Waste,Solid Waste,Program,5600000,1,,Environmental Resilience,Growth,La Barriere,St. Norbert - Seine River,POINT (-97.212998 49.757805),1100000,0,2030,,,,,,,,,,,
2024,Louise Bridge Rehabilitation / Replacement,"The proposed project scope has yet to be fully defined as a preliminary design study for Louise Bridge, Higgins Underpass, and Stadacona Street extension are required.",Public Works,Bridges - Regional,Project,162756000,0,5,A City that Works for Residents through Improved Customer Service,Renew,Chalmers,Elmwood - East Kildonan,POINT (-97.11378962 49.90567004),1500000,3249000,2024,,,Y,4,,162756000,0,162756000,162756000,0,162756000
2024,Lagimodiere Twin Overpasses Rehabilitation (Concordia & CPR Keewatin),This project includes major rehabilitation of the Lagimodiere Twin Overpasses over Concordia Avenue and the Canadian Pacific Railway (CPR) Keewatin rail lines. Improvements to traffic capacity and roadside safety will be determined as part of a preliminary design study.,Public Works,Bridges - Regional,Project,0,1,5,A City that Works for Residents through Improved Customer Service,Renew,Eaglemere,Elmwood - East Kildonan,POINT (-97.05505486 49.91319913),0,0,2029,,,N,5,,,,,,,
2023,Brady Road Resource Management Facility - Cell Construction,text,Water and Waste,Solid Waste,Program,10800000,1,,Environmental Resilience,Growth,La Barriere,St. Norbert - Seine River,POINT (-97.212998 49.757805),500000,0,2025,,,,,,,,,,,
2023,Waterway Crossing and Grade Separations - Annual Program,text,Public Works,Bridges - Regional,Program,50739000,1,,Good Health & Well-Being,Upgrade,,,,3000000,0,2024,,,,,,,,,,,
2024,Freight House Outdoor Pool Redevelopment,"The existing outdoor pool at this site is in poor condition and lacks the capacity to adequately serve the needs of the community. The pool is located in an geographic area of higher needs and it does not meet current accessibility standards nor provide adequate play value and amenities to serve this community. The new pool will include contemporary pool features such as an accessible pool access ramp, slides, spray features, shaded seating areas, diving board(s) and a new pool change/washroom and mechanical system building.",Community Services,Recreation,Project,0,0,5,"A Livable, Safe, Healthy, Happy City",Upgrade,Centennial,Point Douglas,POINT (-97.151199 49.905231),0,0,2025,,,Y,14,,,,,,,
2024,Abinojii Mikanah Greenway - pedestrian overpass of Pembina Hwy,The proposed project involves the construction of a walk-bike bridge over Pembina Highway. The bridge will provide safe and uninterrupted east-west connectivity of the Abinojii Mikanah Greenway system and will offer midpoint connectivity for pedestrian and cycling traffic.,Public Works,Active Transportation,Project,0,0,3,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,Agassiz,Waverley West,POINT (-97.15246418 49.81940777),0,0,2030,,,Y,3,,,,,,,
2024,Flood Pumping Station Rehabilitation,"A 2007 report on the adequacy and operation of the City’s regional flood pumping stations identified station upgrades required in the near and long term. These upgrades improve overall station reliability during high river levels and rainfall events and may include changes to ventilation, electrical, mechanical, structural, or architectural components of the stations and associated structures, chambers, weirs, outfall pipes, and gates. A program to address high priority reliability items has been developed for implementation. All stations will be upgraded for remote monitoring which is critical during flood and rainfall events.",Water and Waste,Land Drainage & Flood Control,Program,0,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,1500000,0,2025,,,N,1,,,,,,,
2023,Transit Building Replacement / Refurbishment,text,Winnipeg Transit,Public Transit,Program,13436000,1,,City Building,Renew,Lord Roberts,Fort Rouge - East Fort Garry,POINT (-97.14271355 49.86553834),688000,0,2025,,,,,,,,,,,
2024,Osborne Street Underpass AT Improvements,"This project will examine cost effective functional design alternatives for an active transportation grade separation in the vicinity of the Osborne Street Underpass in order to address a gap in the Active Transportation Network to cross the CN mainline. Functional design will also be undertaken to review rehabilitation of the existing underpass to address deficiencies in land drainage, vertical clearance and pavement condition.",Public Works,Roads - Regional,Project,0,0,5,A City that Works for Residents through Improved Customer Service,Upgrade,River-Osborne,Fort Rouge - East Fort Garry,POINT (-97.14092029 49.87328292),1500000,3125000,2028,,,Y,6,,,,,,,
2023,Soil Fabrication for Landfill Cover,text,Water and Waste,Solid Waste,Program,7850000,1,,Environmental Resilience,Upgrade,,,,1300000,0,2023,,,,,,,,,,,
2024,West Kildonan Library Renewal,Repair and renewal of building systems/components and accessibility upgrades at the existing West Kildonan Library.,Community Services,Libraries,Project,0,0,5,"A Livable, Safe, Healthy, Happy City",Renew,Jefferson,Mynarski,POINT (-97.12778437 49.93670205),0,0,2031,,,N,1,,,,,,,
2024,Building Systems Repairs and Refurbishment Program at Pan Am Pool,"Facility improvement project to address end-of-life building systems/components, functional limitations, and code compliance in order to maintain current levels of service. Program scope includes short, medium and long-term structural repairs, repair or replacement of air handling units, installation of a central chiller cooling system, replacement of all exhaust fans, hot water tanks, heat exchanger, showers, the PA system to a zone-controllable model and dive tower replacement (added for 2024 budget year).",Assets and Project Management,Recreation,Program,0,0,,"A Livable, Safe, Healthy, Happy City",Upgrade,Grant Park,River Heights - Fort Garry,POINT (-97.17389347 49.85505337),0,0,2029,,,N,8,,,,,,,
2024,Regional and Local Street Renewal,"The Regional Street Renewal program includes the renewal and reconstruction of the City's regional streets, sidewalks and recreational walkways/paths, as well as incorporating pedestrian and cycling facilities on regional street renewal projects where identified in the Winnipeg Pedestrian and Cycling Strategies. The program also funds the condition rating of regional streets. The purpose of this program is to maintain the level of service, structural integrity, and rideability of the transportation infrastructure network.",Public Works,Roads - Regional,Program,0,1,,A City that Works for Residents through Improved Customer Service,Renew,,,,181254000,0,2029,,,Y,3,,,,,,,
2023,Waterway Crossing and Grade Separations - Annual Program,text,Public Works,Bridges - Regional,Program,50739000,1,,Good Health & Well-Being,Upgrade,,,,3500000,0,2031,,,,,,,,,,,
2023,South Winnipeg Recreation Campus: Library & Site Development,text,Community Services,Libraries,Project,14000000,0,5,Good Health & Well-Being,Growth,Waverley Heights,Waverley West,POINT (-97.16136642 49.80968945),0,12500000,2027,Growth-supportive infrastructure,,,,,,,,,,
2024,"Consolidate Core Stations (Centennial, Spence, Sargent Park)",Consolidation of Station 1 (65 Ellen St.) Station 5 (845 Sargent Ave.) and Station 36 (726 Furby t.) into a single fit-for-purpose station on existing city land,Fire Paramedic Service,Fire & Rescue Response,Project,0,0,5,"A Livable, Safe, Healthy, Happy City",Renew,West Alexander,Point Douglas,POINT (-97.14658 49.89845),0,23668000,2033,,,N,8,,,,,,,
2023,Facility Optimization - Waverley West Station,text,Fire Paramedic Service,Fire & Medical Response,Project,10852000,1,5,Good Health & Well-Being,Upgrade,Waverley West B,Waverley West,POINT (-97.18796535 49.79664178),10136000,0,2024,Growth-supportive infrastructure,,,,,,,,,,
2024,NG911,"CRTC NG9-1-1 standards require upgrades to call handling systems to ensure 9-1-1 data can be appropriately handled. It also requires primary and back-up PSAPS centres have physical and electronic security measures in place. These funds will be used to construct a 9-1-1 back-up centre to meet national standards, and implement an on-premise 9-1-1 communication system.",Fire Paramedic Service,Fire & Rescue Response,Project,0,1,5,"A Livable, Safe, Healthy, Happy City",Upgrade,,,,0,0,2030,,,N,3,,,,,,,
2024,South Winnipeg Recreation Campus: Library & Site Development,"The proposed project would see the development of a phased multi-use and multi-generational recreation campus in Waverley West that includes a regional aquatic/recreation facility with lap tank, leisure pool, fitness space, walking/running track, multiple gymnasiums, multi-purpose spaces, a community library and adjacent park space including athletic fields and a community spray pad.",Community Services,Recreation,Project,0,0,5,"A Livable, Safe, Healthy, Happy City",Growth,Waverley West B,Waverley West,POINT (-97.185917 49.797722),0,0,2027,Growth-supportive infrastructure,,N,5,,,,,,,
2023,Arlington Bridge Replacement (Tub Girder option),text,Public Works,Bridges - Regional,Project,339700000,0,3,City Building,Renew,Dufferin Industrial,Mynarski,POINT (-97.16028104 49.91439515),0,22200000,2024,,,,,,,,,,,
2024,Consolidate Central and North St Boniface Stations,Consolidation of Station 2 (55 Watt St.) and Station 3 (337 Rue DeMeurons) into a single fit-for-purpose station on existing city land.,Fire Paramedic Service,Fire & Rescue Response,Project,0,0,5,"A Livable, Safe, Healthy, Happy City",Renew,Central St. Boniface,St. Boniface,POINT (-97.11060219 49.88512328),0,22982000,2032,,,N,9,,,,,,,
2023,Spray Pad Investment Fund,text,Community Services,Recreation,Program,20000000,0,,Good Health & Well-Being,Growth,,,,0,2000000,2024,,,,,,,,,,,
2024,North End Sewage Treatment plant (NEWPCC) Upgrades: Power Supply and Headworks Facilities,,Water and Waste,Wastewater,Project,0,1,3,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,West Kildonan Industrial,Old Kildonan,POINT (-97.10764 49.95172),0,0,2027,Growth-enabling infrastructure,,N,11,,,,,,,
2023,Shoal Lake Aqueduct Condition Assessment and Rehabilitation,text,Water and Waste,Water,Program,13300000,1,,Environmental Resilience,Renew,,,,1500000,0,2023,,,,,,,,,,,
2024,Hoist Replacement at Fort Rouge Garage,"All 38 in-ground hoists found in the Fort Rouge Garage maintenance shop require replacement due to deterioration and age, inefficient and outdated designs, and to ensure compliance with new hoist codes and standards.",Winnipeg Transit,Public Transit,Program,0,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,Lord Roberts,Fort Rouge - East Fort Garry,POINT (-97.14263831 49.86523158),0,0,2027,,,N,3,,,,,,,
2024,CentrePort South (formerly Airport Area West) Water and Sewer Servicing,"This project includes the detailed design and construction of a water feeder main extension, a new sewer lift station and force main connection to the Inkster Interceptor, as well as land acquisition and administrative costs.",Water and Waste,Wastewater,Project,0,1,3,A Strong Economy,Growth,Saskatchewan North,St. James,POINT (-97.3003239167088 49.9242677773775),0,0,2026,Growth-enabling infrastructure,,N,14,,,,,,,
2024,Asset Refurbishment and Replacement Program: Projects,"A risk and criticality review of the City's three sewage treatment plants has been undertaken to assess the condition of assets and to develop a refurbishment and replacement plan for the next 25 years. The improvements identified will address process reliability, mechanical, electrical, structural components, building envelope, and safety at all three locations including any related works required such as environmental studies/assessments or decommissioning of assets. Operational efficiency improvements will also be identified and implemented in a coordinated fashion with the enhanced maintenance program.",Water and Waste,Wastewater,Program,0,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,6500000,0,2029,,,N,18,,,,,,,
2024,Shoal Lake Aqueduct Intake Facility Rehabilitation,"The Shoal Lake Aqueduct, which has been in continuous service since 1919, is the sole water supply infrastructure for the City. The Shoal Lake Intake Structure is the transition headworks to receive water from Shoal Lake and to control the water flow into the aqueduct. Given the critical nature of the intake structure and its associated venturi structure to the safe operation of the aqueduct and the City's water supply, a condition assessment was undertaken and identified a number of rehabilitation and replacement requirements. This included the replacement and refurbishment of various mechanical components that date back to the original construction, the replacement of the maintenance/communication facility, as well as upgrades and improvements to the existing infrastructure. The recommended improvements will be completed in phases on a risk-based priority",Water and Waste,Water,Program,0,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,850000,0,2025,,,N,11,,,,,,,
2024,Equipment Obsolescence,This capital program supports the ongoing replacement of emergency response equipment that is nearing the end of its useful operating life. The replacement timing is set to ensure continuity of front line emergency operation while maximizing the operating life of the equipment and ensuring value for money.,Fire Paramedic Service,Fire & Rescue Response,Program,0,1,,"A Livable, Safe, Healthy, Happy City",Renew,,,,4028000,0,2031,,,N,2,,,,,,,
2024,Local Area Planning Program,Local Area Planning Program will provide a budget for new local area plan projects and the next OurWinnipeg development plan review. The program will last for a ten-year period from 2024 through 2033 and allow for the bundling of multiple low-risk small projects over time and provide the City with greater capacity to manage growth and meet the goals outlined in OurWinnipeg 2045 and Complete Communities 2.0,"Planning, Property & Development",City Planning,Program,0,0,,"A Livable, Safe, Healthy, Happy City",Growth,,,,0,644000,2033,,,N,1,,,,,,,
2024,Hoist Replacement at Fort Rouge Garage,"All 38 in-ground hoists found in the Fort Rouge Garage maintenance shop require replacement due to deterioration and age, inefficient and outdated designs, and to ensure compliance with new hoist codes and standards.",Winnipeg Transit,Public Transit,Program,0,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,Lord Roberts,Fort Rouge - East Fort Garry,POINT (-97.14263831 49.86523158),0,0,2032,,,N,3,,,,,,,
2024,Bus Radio and Intelligent Transportation System (ITS) Replacement,"This project will see the replacement of existing bus radio hardware, equipment, and Intelligent Transportation Systems (ITS). The project will include replacement of radios on the entire Transit fleet currently approaching the end of useful life.",Winnipeg Transit,Public Transit,Program,0,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,0,0,2026,,,N,8,,,,,,,
2023,Local Improvements - Ongoing Program,text,Assessment & Taxation,Economic development,Program,24000000,0,,City Building,Operations & Maintenance,,,,250000,2150000,2026,,,,,,,,,,,
2024,Arlington Bridge Replacement,"The proposed project involves construction of a new three-lane bridge to the west of the existing bridge. The new bridge will include two uni-directional bike lanes and two sidewalks. The project would also include reconstruction of Arlington Street from McDermot Avenue to Selkirk Avenue, as well as the decommissioning and removal of the existing Arlington Bridge.",Public Works,Bridges - Regional,Project,0,0,3,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,Dufferin Industrial,Mynarski,POINT (-97.16028104 49.91439515),0,0,2033,,,Y,7,,,,,,,
2024,Urban Forest Renewal Program,This program supports sustainable urban forest management practices,Public Works,Urban Forestry,Program,0,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Operations & Maintenance,,,,9600000,642000,2028,,,Y,1,,,,,,,
2023,Traffic Signals Bases Replacements,text,Public Works,Roads - Regional,Program,12500000,1,,Good Health & Well-Being,Renew,,,,1500000,0,2029,,,,,,,,,,,
2024,Arenas Structural Repairs Program,"Capital refurbishment/repairs related to structural and building envelope issues in 11 (eleven) indoor arenas owned and operated by the City of Winnipeg. Projects may include repairs to address corrosion of exterior steel columns, repair and cladding of exposed glulam beams, masonry repairs including mortar joint re-pointing, metal cladding repairs  to restore the continuity of  the building enclosure, repairs to the water management system(s) such as gutters, downspouts and splash pads, repair of structural concrete stairs and landings cladding, repairs to exterior concrete blocks and brick veneer, repairs or replacement of roofing systems, remediation of crawlspaces and application of an elastomeric coating to surfaces, etc.",Assets and Project Management,Recreation,Program,0,0,,A City that Works for Residents through Improved Customer Service,Renew,,,,0,2240000,2028,,,N,1,,,,,,,
2024,Regional Parks,"Refurbishment and/or improvements to various parks to repair aging park infrastructure and related amenities, or construct new amenities to address identified gaps in service.",Public Works,Parks - Regional,Program,108209000,0,,"A Livable, Safe, Healthy, Happy City",Renew,,,,0,12247000,2024,,,Y,2,,,,,,,
2024,South Winnipeg Recreation Campus: Aquatic Component,"Addition of an aquatic component, consisting of lap and leisure pools along with affiliated mechanical/filtration systems and change rooms, to the South Winnipeg Recreation Campus.",Community Services,Recreation,Project,0,0,5,"A Livable, Safe, Healthy, Happy City",Growth,Waverley West B,Waverley West,POINT (-97.185917 49.797722),1500000,49710000,2026,Growth-supportive infrastructure,,N,2,,,,,,,
2024,Brady Road Resource Management Facility - Cell Construction,"Solid waste must be disposed of in engineered landfill cells under the conditions of the Environment Act Licence No. 3081 R. As the capacity of existing landfill cells is consumed, new cells and their supporting infrastructure must be designed and constructed. The funding identified provides for design, excavation, liners, leachate collection, associated surface and ground water management, access roads, and associated engineering work.",Water and Waste,Solid Waste Disposal,Program,58500000,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Growth,La Barriere,St. Norbert - Seine River,POINT (-97.212998 49.757805),1000000,0,2024,,,N,2,,58500000,20800000,37700000,38700000,1000000,37700000
2023,Henderson Hwy N of Gilmore to City Limit,text,Public Works,Roads - Regional,Project,31195000,0,5,City Building,Upgrade,River East,North Kildonan,POINT (-97.08013119 49.95064192),0,14900000,2029,,,,,,,,,,,
2023,Provencher Outdoor Pool Redevelopment,text,Community Services,Recreation,Project,8000000,0,5,Good Health & Well-Being,Upgrade,Central St. Boniface,St. Boniface,POINT (-97.117877 49.891049),0,8000000,2027,,,,,,,,,,,
2024,Desktop Hardware Program,"This program will allow the city to continue with the desktop hardware evergreening program for the City, with a proposed shift from operating expenses (Opex) to capital expenses (Capex). By making this shift, the City can free up operating dollars for investing in Software as a Service (SaaS) IT subscriptions, which will help the City transition to more Cloud-centric systems and enjoy their benefits. This shift in funding and technology infrastructure will enable the City to prioritize its technology investments and enhance its overall technology infrastructure.",Innovation and Technology,Multiple Organizational Support Services,Program,0,0,,A City that Works for Residents through Improved Customer Service,Upgrade,,,,0,1783000,2028,,,N,1,,,,,,,
2024,Relocation of Fleet head office and Tecumseh Shops,"Move the WFMA operations of head office, repair facility, and manufacturing facility from 195-215 Tecumseh/770 Ross to a new location.",Public Works,Multiple Organizational Support Services,Project,105120000,0,5,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,West Alexander,Point Douglas,POINT (-97.1607308148397 49.9074105448269),0,120000,2024,,,N,6,,,,,,,
