Sub Code,Street Name,Street Number,Historical Name,Construction Date,Condition 1,Condition 2,Date Listed,Long Report URL,Short Report URL,Map URL,Grade,Location,Point
Commemorative List,Alverstone Street,616,Bjorn Petursson House,1914,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=147232&js=y,N/A,"(49.895791809120034, -97.17030699240782)",POINT (-97.170306992408 49.89579180912)
Commemorative List,Middle Gate,34,Dr. F.W. Glasgow House,1912,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=139004&js=y,N/A,"(49.877748938567095, -97.15779292685137)",POINT (-97.157792926851 49.877748938567)
List of Historical Resources,Bannatyne Avenue,211,Ashdown's Hardware Store,1905,With the following interior element to be maintained as much as practicable:1) tin ceiling,,23/05/2001,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Bannatyne-211-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Bannatyne-211-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=197205&js=y,III,"(49.898065677422146, -97.13967108584086)",POINT (-97.139671085841 49.898065677422)
Commemorative List,Kingsway,66,William Whyte Jr. House,1907,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=136683&js=y,N/A,"(49.87397003656325, -97.16334405016364)",POINT (-97.163344050164 49.873970036563)
List of Historical Resources,John Black Avenue,201,Kildonan Presbyterian Church,1854,,,05/01/1994,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/John-Black-201-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/John-Black-201-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=55380&js=y,I,"(49.953056659774944, -97.09882492307243)",POINT (-97.098824923072 49.953056659775)
List of Historical Resources,Home Street,272,Thelma Apartments,1914,,,15/01/1993,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Home-272-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Home-272-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=135950&js=y,III,"(49.88488281251052, -97.16858620242823)",POINT (-97.168586202428 49.884882812511)
Commemorative List,Maplewood Avenue,253,Riverview School,1929,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=138356&js=y,N/A,"(49.8657345871215, -97.12747173387683)",POINT (-97.127471733877 49.865734587122)
List of Historical Resources,Nassau Street N,130,St. Luke's Anglican Church,1904,"With the following exterior elements:1) stone church with complex roof on the northeast corner of Nassau Street North and Stradbrook Avenue, its west facade facing Nassau Street North, its south facade facing Stradbrook Avenue, its east facade facing neighbouring buildings and its north facade facing a back lane;2) its main (west) facade with centrally-placed crenellated tower with smooth stone accenting, buttresses, pointed arched openings, intersecting tracery, carved crosses and clocks on the north, south and west facades;3) the south facade with pointed arched openings, stone buttresses, gable dormers with stained glass panels, cross gables at the east end and projecting entrance west of the cross gable;4) the north facade with pointed arched openings, stone buttresses, gable dormers with stained glass panels, cross gable at the east end and projecting entrance and chimneys east of the cross gable;5) the east facade, partially hidden by the attached hall, with modest buttresses and a large pointed arch window with delicate tracery in the east-facing gable end; and6) the 1914 Church House built on the east end of the original building, with its large basement windows in rounded arch, smooth-cut stone openings on the north and south facades, wide pilasters, sets of four thin windows in rectilinear smooth-cut stone openings, and the east facade with a one-storey portion, a projecting entrance with wide stone steps, projecting entrance in southeast corner, with carved stone ribbon with the words ""ST. LUKE'S CHURCH HOUSE A.D. 1914"" inscribed, roof overhang with carved stone panels and the bell-cast hipped roof with bell-cast hipped dormers on the north and south slopes and a crocketted copper pinnacle with rooster weather vane.With the following interior elements:1) the Church's finishes, volume of space and ornamental detailing; and2) clocks, bells and associated mechanisms.",,09/04/2018,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Nassau-N-130-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Nassau-N-130-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=140178&js=y,N/A,"(49.87698381834564, -97.14812143690591)",POINT (-97.148121436906 49.876983818346)
Commemorative List,Balmoral Street,86,Thomas A. Van Vliet House,1911,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=128650&js=y,N/A,"(49.884356129748994, -97.15327240958013)",POINT (-97.15327240958 49.884356129749)
Commemorative List,Dumoulin Street,221,Francois Gingras House,1882c,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=64773&js=y,N/A,"(49.8938015122609, -97.12081225216842)",POINT (-97.120812252168 49.893801512261)
List of Historical Resources,Bannatyne Avenue,137,Swiss Building,1882,,,08/12/1986,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Bannatyne137-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Bannatyne-137-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=148121&js=y,III,"(49.8976753213009, -97.13580239817885)",POINT (-97.135802398179 49.897675321301)
List of Historical Resources,Garry Street,290,Garry Block,1911,,,04/01/1988,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Garry-290-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Garry-290-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=134807&js=y,III,"(49.89366563696123, -97.14097619615536)",POINT (-97.140976196155 49.893665636961)
List of Historical Resources,Smith Street,331,Marlborough (Olympia) Hotel,1913,With the following interior elements:1) tea room on mezzanine;2) original stained glass windows;3) main floor dining room;4) main floor coffee shop;5) 8th floor ballroom (1923); and6) press club and fireplace in the basement,,06/04/1998,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Smith331-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Smith-331-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=157048&js=y,II,"(49.895068515044485, -97.14234935099415)",POINT (-97.142349350994 49.895068515044)
List of Historical Resources,Wardlaw Avenue,544,Wardlaw (Wardlow) Apartments,1905,With the following interior elements:1) front central staircase including foyer; and2) original fireplaces,,28/09/1999,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Wardlaw-544-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Wardlaw-544-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=144511&js=y,II,"(49.875419443550506, -97.14779219998452)",POINT (-97.147792199985 49.875419443551)
Commemorative List,Balmoral Street,114,Rev. Clarence MacKinnon House,1907,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=128655&js=y,N/A,"(49.885040745877234, -97.15322625851299)",POINT (-97.153226258513 49.885040745877)
List of Historical Resources,Princess Street,"242,244,246",Bathgate Block,1882,,,30/11/2004,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Princess242-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Princess242-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=155565&js=y,II,"(49.90273056919774, -97.13947621096625)",POINT (-97.139476210966 49.902730569198)
List of Historical Resources,Main Street,2373,Nisbet Hall,1865,"With the following exterior elements:1) one-storey stone structure with gable roof completed in 1865 and reconstructed in 1987 with original timber roof trusses and stone walls, set far back from Main Street;2) the windowless main (south) façade with its centrally-placed entrance topped by a carved date stone;3) the east and west façades with windows in rectilinear openings;4) the windowless rear (north) façade partially hidden by an attached addition; and5) original weather vane.With the following interior elements:1) none",,27/05/2019,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Main-2373-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Main-2373-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=56241&js=y,N/A,"(49.95425029518003, -97.09823555706038)",POINT (-97.09823555706 49.95425029518)
Commemorative List,East Gate,155,Hon. W.J. Tupper House,1896,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=133574&js=y,N/A,"(49.875010059044186, -97.15427688081157)",POINT (-97.154276880812 49.875010059044)
List of Historical Resources,Vaughan Street,340,Raleigh Apartments,,,,01/02/2005,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Vaughan340-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Vaughan340-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=158741&js=y,III,"(49.89324429329175, -97.15089892974598)",POINT (-97.150898929746 49.893244293292)
Commemorative List,Edmonton Street,37,Henry M. Belcher House,1900,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=133689&js=y,N/A,"(49.88477118126469, -97.14266528785356)",POINT (-97.142665287854 49.884771181265)
List of Historical Resources,McDermot Avenue,290,Glengarry Block,1910,,,11/05/1987,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/McDermot-290-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/McDermot290-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=154405&js=y,III,"(49.897406050124616, -97.14245584921129)",POINT (-97.142455849211 49.897406050125)
List of Historical Resources,Jefferson Street,365,West Kildonan Library,1968,"Site:The landscaped and recessed south and east yards with pathway, ramp, and stair entry sequence and low masonry wall.With the following exterior elements:1) the rectilinear, one-storey concrete block and steel structure clad in wood and limestone with flat roofs with its main (south) façade facing Jefferson Avenue, its east façade facing Powers Avenue, its west façade facing a sunken grassed area and its rear (north) façade facing a parking lot;2) the front (south) façade with raised entrance deeply set under the roof overhang, structural columns, set of slender clerestory windows, entrance ramp, and exit door and large window opening divided by projecting concrete mullions to the west of the main entrance;3) the east façade with two sets of projecting concrete mullioned windows, large rectilinear window opening and clerestory windows;4) the west façade with rectilinear basement window openings, exit doors, projecting concrete mullioned window openings, and clerestory windows; and5) the rear (north) façade with central raised entrance flanked by two exit doors and clerestory windows.6) the centralized raised roof with clerestory windows.With the following interior elements:1) the arrangement, volume, and finishes of the front and rear foyers and main floor area, including the staircase guardrails and handrails, structural columns, the raised ceiling above the circulation desk, projecting concrete window mullions, mosaic tile floor finishes, and wood, glass, and stone wall finishes.",,09/01/2023,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Jefferson-365-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Jefferson-365-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=183281&js=y,N/A,"(49.93669363222423, -97.12785768080332)",POINT (-97.127857680803 49.936693632224)
Commemorative List,Maryland Street,484,First Evangelical Lutheran (City Church),1911,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=154274&js=y,N/A,"(49.893621504903145, -97.16049873183866)",POINT (-97.160498731839 49.893621504903)
Commemorative List,Burrows Avenue,297,Ashkenazi Synagogue,1906,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=164060&js=y,N/A,"(49.91596749218663, -97.13435697602512)",POINT (-97.134356976025 49.915967492187)
Commemorative List,Spence Street,498,Frank Lindsay House,1904,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=157092&js=y,N/A,"(49.89503288251134, -97.15406231961727)",POINT (-97.154062319617 49.895032882511)
Commemorative List,Lily Street,45,Daniel McDonald House,1893,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=153212&js=y,N/A,"(49.90136069635695, -97.13305264439319)",POINT (-97.133052644393 49.901360696357)
List of Historical Resources,Notre Dame Avenue,213,Electric Railway Chambers,1912,With the following interior elements:1) main floor lobby including mezzanine and offices,,24/08/1987,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Notre-Dame-213-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Notre-Dame-213-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=154948&js=y,II,"(49.89563380153556, -97.14029285576896)",POINT (-97.140292855769 49.895633801536)
Commemorative List,East Gate,20,W. Hill House,1912,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=133544&js=y,N/A,"(49.878209500004424, -97.15659275338132)",POINT (-97.156592753381 49.878209500004)
List of Historical Resources,Ruines Du Monastere,100,Guest House,1903,,,07/05/1980,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Ruines-du-Monastere-100-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Ruines-du-Monastere-100-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=31405&js=y,II,"(49.75776962311789, -97.15275597168679)",POINT (-97.152755971687 49.757769623118)
List of Historical Resources,Deschambault Street,375,Maison Roy,,,,07/06/1982,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Deschambault375-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Deschambault-375-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=64158&js=y,III,"(49.8903165619906, -97.11105542707696)",POINT (-97.111055427077 49.890316561991)
List of Historical Resources,Market Avenue,136,Marshall-Wells Building,1905,With the following interior elements:1) capitals on the main floor,,11/05/1987,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Market-136-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Market-136-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=154197&js=y,III,"(49.89832205473638, -97.13578442087855)",POINT (-97.135784420879 49.898322054736)
List of Historical Resources,Donald Street,335,Masonic Temple,1895,"With the following exterior elements: 1) the three-storey brick and stone building with two-storey rear annex on the southeast corner of Donald Street and Ellice Avenue, its main façade facing west onto Donald Street, its north façade facing Ellice Avenue, its south façade facing a neighbouring building and its rear façade facing a back lane; 2) the symmetrical front (west) façade with rusticated stone base, its central protruding entrance with stone columns and dentilled pediment with sunrise motif, arched and rectilinear window openings with stone and brick accenting, attached pilasters with stone bases and brick capitals, completed entablature, stone panels with the date ""1895"" and ""MASONIC TEMPLE"", central pediment with round window and medium pitched hip roof; 3) the north façade featuring a continuation of the design and materials of the front elevation, stone clad foundation, arched and round openings, brick pilasters, basket weave brick sections on the third floor and in the gable dormer; 4) the windowless south façade with pilasters and plainer gable dormer; 5) the rear (east) façade partially covered by a two-storey addition, the visible section features one round window, brick pilasters, a pediment and two large brick chimneys; and 6) two-storey brick annex with windows in rectilinear openings and stone accenting and metal cornice and capped brick parapet.With the following interior elements: 1) none",,21/03/2019,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Donald-335-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Donald-335-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=150004&js=y,N/A,"(49.89494530995831, -97.1437718039658)",POINT (-97.143771803966 49.894945309958)
Commemorative List,Lorne Avenue,101,Samuel Ross House,1881,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=172099&js=y,N/A,"(49.91068241838494, -97.12946926381063)",POINT (-97.129469263811 49.910682418385)
Commemorative List,Balmoral Street,82,L.G. Osterander House,1904,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=128649&js=y,N/A,"(49.884190436115794, -97.15327903090699)",POINT (-97.153279030907 49.884190436116)
Commemorative List,Wellington Crescent,264,Wellington Apartments,1910,(264-276),,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=145725&js=y,N/A,"(49.87252119428655, -97.15255468338722)",POINT (-97.152554683387 49.872521194287)
List of Historical Resources,Cathedral Avenue,250,St. John's Church,1914,,,21/11/1988,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Cathedral-250-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Cathedral-250-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=165131&js=y,III,"(49.92435635865639, -97.12803154317075)",POINT (-97.128031543171 49.924356358656)
List of Historical Resources,Hargrave Street,474,Manitoba Telephone System - Garry Exchange,1907,"With the following exterior elements: 1) four-storey red brick and stone building with flat roof located on the southwest corner of Hargrave Street and McDermot Avenue, its main façades facing east onto Hargrave Street and north onto McDermot Avenue, its south façade facing a neighbouring building and its west façade facing a parking lot; 2) east façade with rusticated stone base leading to smooth-cut stone cladding on the ground floor, classically-detailed entrance with attached unfluted columns with egg and dart capitals and pediment embellished with floral motif, Manitoba shield and ""MANITOBA TELEPHONES"", dark red brick upper floors with stone lug sills, keystones, quoins and a belt course between the third and fourth floors, windows in rectilinear openings, brick pilasters with stone bases and capitals on the top floor supporting the complete entablature with heavy overhanging cornice; 3) north façade with its classically-detailed, centrally-located entrance with rounded pediment with floral motif and Manitoba shield, attached unfluted Ionic Order columns with voluted capitals, the words ""MANITOBA TELEPHONES"", egg and dart moulding, delicate metal railing and stone cartouche with ""1907"" and upper floors a continuation of the east façade and also including a swan neck stone pediment framing a carved panel with the date of construction ""1907"" at the roofline and a flagpole; 4) the south façade featuring a low rusticated stone base and windows in rectilinear openings with stone lug sills on each level; and 5) the west façade with its low rusticated stone base, windows in rectilinear openings with stone lug sills on each level and large brick chimney. With the following interior elements: 1) wood and metal finishes of the main (east side) staircase.",,25/01/2017,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Hargrave-474-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Hargrave-474-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=151956&js=y,N/A,"(49.89831546231427, -97.14511112227666)",POINT (-97.145111122277 49.898315462314)
List of Historical Resources,Academy Road,394,Uptown Theatre,1930,,,08/12/1986,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Academy394-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Academy-394-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=127468&js=y,III,"(49.873572717582725, -97.1828340360856)",POINT (-97.182834036086 49.873572717583)
Commemorative List,Middle Gate,9,W.G. McMahon House,1883,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=138996&js=y,N/A,"(49.878780163993795, -97.15762413778526)",POINT (-97.157624137785 49.878780163994)
List of Historical Resources,Market Avenue,133,Firestone Tire and Rubber Company Warehouse,1946,"With the following exterior elements:1) three-storey warehouse with a flat roof, its main façade facing south onto Market Avenue, its west façade facing the east wall of the neighbouring building, its east façade facing a parking lot and the north façade facing the back lane;2) main (south) façade with its stucco cladding, giant  order pilasters, three bays with windows in rectilinear openings;3) the east elevation with windows in rectilinear openings; and4) the rear (north) façade with windows in rectilinear openings.With the following interior element:1) examples of exposed brick walls.",,19/11/2018,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Market-133-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Market-133-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=154196&js=y,N/A,"(49.89861171843979, -97.13536568789402)",POINT (-97.135365687894 49.89861171844)
Commemorative List,Cornish Avenue,25,Donald A. MacDonald House,1907,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=132488&js=y,N/A,"(49.879225173337026, -97.15711028498671)",POINT (-97.157110284987 49.879225173337)
Commemorative List,East Gate,40,A. Benard House,1912,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=133549&js=y,N/A,"(49.87785925002726, -97.15627024519044)",POINT (-97.15627024519 49.877859250027)
List of Historical Resources,Polson Avenue,111,Luxton School,1907,"With the following interior elements:1) large two-storey brick and stone public school structure built in 1907 with additions in 1915, 1948 and 1987, its front façade facing south onto Polson Avenue, its east façade facing an open playground, its west façade facing a back lane and its north façade facing Luxton Avenue;2) the main (south) façade of the 1907 building with its raised basement, two-toned brick with stone accenting, recessed windows with stain-glassed filled transoms in rectilinear openings and large, ornamental brickwork, raised stone entrance portico and flat roof with stone parapet with raised area holding a panel with the carved words ""LUXTON SCHOOL"";3) the east façade with its continuation of materials and design of the front elevation;4) the north façade with similar materials and design elements as the front elevation and projecting entrances at its east and west ends;5) the 1915 addition with its raised basement, two-toned brick superstructure with stone accenting, large brick and stone portico with arched side openings, heavy brick and stone second storey balustrade, tin ceiling and panel carved with the words ""LUXTON SCHOOL"", hidden east end, partially hidden west end with Flemish gable, rear (north) façade with brick chimney, partially hidden by an addition and a hipped gable roof  with windowed dormers; and6) the 1948 addition with its raised basement auditorium section with large windows in rectilinear openings and one-storey classroom section with windows and transoms in rectilinear openings and corbelled brick accenting.With the following interior elements:1) elements of the ornamental tin ceiling;2) west staircase and metal accented dividing walls in the 1915 section; and3) wide central hallway plan.",,07/11/2017,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Polson-111-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Polson-111-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=177378&js=y,N/A,"(49.92462351607551, -97.11941497988772)",POINT (-97.119414979888 49.924623516076)
Commemorative List,Assiniboine Avenue,400,Camelot Apartments,1929,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=128390&js=y,N/A,"(49.883707175364975, -97.14101524738727)",POINT (-97.141015247387 49.883707175365)
List of Historical Resources,James Avenue,132,Richards and Brown Warehouse,1911,"With the following exterior elements: 1) three-storey brick and stone warehouse facing north onto James Avenue; 2) main (north) façade with raised, cut stone base with small, rectangular basement windows in openings, main floor brick laid with deep grooves, large arched windows and doors in openings on the ground floor with keystones topped by a stone belt course, upper storeys divided by brick pilasters with carved stone bases holding rectangular windows in pairs and singles with stone lug sills and a flat roofline with corbelled brick accenting; 3) stone bollards at eastern-most ground floor opening; 4) painted signage on the west façade; 5) through-masonry metal tension rods; and 6) Rear (south) façade with arched window openings with stone lug sills on all three floors. With the following interior elements: 1) heavy timber mill structural system; and 2) east masonry load-bearing demising wall.",,19/07/2018,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/James-132-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/James-132-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=8692&js=y,N/A,"(49.89896430298007, -97.13502967662316)",POINT (-97.135029676623 49.89896430298)
List of Historical Resources,Portage Avenue,426,Bank of Montreal,1917,,,17/07/1989,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Portage426-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Portage-426-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=141764&js=y,III,"(49.891257442917286, -97.14890648161821)",POINT (-97.148906481618 49.891257442917)
List of Historical Resources,Edmonton Street,400,Knox United (Presbyterian) Church,1913,"With the following exterior elements: 1) large stone church located on the northwest corner of Edmonton Street and Qu'Appelle Avenue with its front façade facing south onto Qu'Appelle Avenue, its east façade onto Edmonton Street, its west façade facing the back lane and its north façade with its attached two-storey Sunday School Building;2) the front (south) façade with its two corner towers separated by a gable end with three pointed arch windows with wood tracery, buttresses, hood moulding and blind pointed arched arcade, the tower with attached columns, corner buttresses with extended buttress caps, pointed arched window openings and blind arcades and narrow louvred belfry openings on the southwest tower and entrances with pointed arched openings in the southwest corner tower (south side) and on the south and east sides of the southeast tower;3) the similarly designed east and west façades with buttresses and extended buttress caps, tall windows with wood tracery in pointed arched openings and large chimneys;4) the gable end and large chimneys of the north façade; and5) the north end of the building occupied by the two-storey Sunday School Building with its windows in rectilinear openings on its north, east and west façades.With the following interior elements: 1) volume of space in the vestibules and the nave with its arched, coloured panelled ceiling with encircling cornice, the arched narthex with a feature screen and sets of double nave doors and side balcony staircases;2) the nave's auditorium plan with curved pews set on a bowled floor between wide aisles and a large cantilevered balcony with sloped seating3) the raised choir area with recessed, wood panelled area, round compound arch and Casavant organ pipes;4) examples of the dark wood finishes, hardwood and terrazzo flooring, coloured glass windows and wood accented marble staircases, pulpit, pews and balcony; and5) the fireplaces in the vestry and DuVal Hall.",,04/03/2019,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Edmonton-400-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Edmonton-400-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=150269&js=y,N/A,"(49.89574529221721, -97.14946234260934)",POINT (-97.149462342609 49.895745292217)
Commemorative List,Kingsway,213,William Cook Russell House,1908,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=136724&js=y,N/A,"(49.871886795511415, -97.16945442911789)",POINT (-97.169454429118 49.871886795511)
List of Historical Resources,Main Street,335,Bank of Montreal,1910,With the following interior elements:1) basement vaults;2) main banking hall;3) southwest curved staircase;4) northwest corner office on the mezzanine floor; and5) marble fireplaces in offices and boardroom-mezzanine floor,,07/05/1980,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Main-335-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Main-335-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=138306&js=y,II,"(49.89515607502938, -97.13765872739678)",POINT (-97.137658727397 49.895156075029)
List of Historical Resources,Main Street,389,Bank of Commerce,1910,,,07/11/1979,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Main-389-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Main-389-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=8704&js=y,I,"(49.89670509696095, -97.138213742632)",POINT (-97.138213742632 49.896705096961)
Commemorative List,Euclid Avenue,121,Matas Grocery Store & Residence,1899 (house) & 1911 (store),,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=167736&js=y,N/A,"(49.90741429880656, -97.12861390209532)",POINT (-97.128613902095 49.907414298807)
Commemorative List,Collegiate Street,195,St. James Anglican Church,1922,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=77223&js=y,N/A,"(49.878038319429784, -97.21729198049994)",POINT (-97.2172919805 49.87803831943)
Commemorative List,Balmoral Street,106,Hon. Noe E. Chevrier House,1910,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=128654&js=y,N/A,"(49.88490382230526, -97.15323548914387)",POINT (-97.153235489144 49.884903822305)
